user_influence,network,metric_type,metric_value,readability,multimedia_presence,reach,longevity
0.1152,1,1,0.0016,44.91,0,3862,5
0.1001,1,1,0.0016,84.17,0,287,1
0.0993,1,1,0.0081,64.04,0,360,1
0.1131,1,1,0.0018,73.34,0,798,7
0.1119,1,1,0.0035,67.25,0,2523,4
0.1112,1,1,0.0016,76.72,0,3154,3
0.1706,1,1,0.0021,76.72,0,45375,15
0.1137,1,1,0.0030,88.43,0,6824,12
0.1710,1,1,0.0016,76.72,0,52276,15
0.1174,1,1,0.0030,36.28,0,18893,14
0.1118,1,1,0.0021,88.43,0,1148,12
0.1064,1,1,0.0180,33.24,0,2032,1
0.0786,1,1,0.0016,57.61,0,84398,7
0.1164,1,1,0.0018,68.26,0,4112,10
0.1706,1,1,0.0016,76.72,0,43805,15
0.1749,1,1,0.0018,76.72,0,157188,15
0.1109,1,1,0.0028,60.31,0,664,2
0.1103,1,1,0.0035,72.5,0,2836,8
0.1095,1,1,0.0021,76.22,0,1031,3
0.1125,1,1,0.0021,47.79,1,368,3
0.1114,1,1,0.0018,72.53,0,790,3
0.1125,1,1,0.0025,43.39,0,213,2
0.1062,1,1,0.0037,62.85,1,4493,3
0.1706,1,1,0.0018,76.72,0,44680,15
0.1128,1,1,0.0028,40.35,0,750,4
0.1124,1,1,0.0039,76.72,0,881,1
0.1448,1,1,0.0016,76.72,0,90888,15
0.1127,1,1,0.0028,36.28,0,606,4
0.2556,1,1,0.0229,48.16,0,1792479,9
0.1161,1,1,0.0030,85.18,0,3932,13
0.1125,1,1,0.0018,41.7,0,2294,2
0.1150,1,1,0.0016,26.81,0,2866,5
0.1045,1,1,0.0021,85.18,0,1897,3
0.1130,1,1,0.0016,34.26,0,778,2
0.1124,1,1,0.0018,42.72,1,126,3
0.1143,1,1,0.0030,88.02,0,4566,7
0.1795,1,1,0.0016,56.59,0,2944,1
0.1125,1,1,0.0018,49.15,0,1847,2
0.1124,1,1,0.0018,58.62,0,140,3
0.1256,1,1,0.0021,75.2,0,13495,15
0.1135,1,1,0.0016,68.26,0,3883,5
0.1124,1,1,0.0018,34.26,0,78,2
0.1124,1,1,0.0037,64.04,0,94,1
0.1045,1,1,0.0032,79.97,0,1740,3
0.1124,1,1,0.0018,91.61,0,289,1
0.1127,1,1,0.0016,84.68,0,1207,4
0.1827,1,1,0.0016,84.68,0,757,4
0.1136,1,1,0.0023,66.07,0,1450,5
0.1124,1,1,0.0023,34.26,0,251,1
0.1134,1,1,0.0018,88.43,0,1117,12
0.1124,1,1,0.0032,76.22,0,900,2
0.1124,1,1,0.0021,51.18,1,759,2
0.1150,1,1,0.0025,26.81,0,2680,5
0.1127,1,1,0.0016,73.13,0,2341,4
0.1151,1,1,0.0016,26.81,0,3818,5
0.1126,1,1,0.0018,55.24,1,423,4
0.1135,1,1,0.0018,61.33,0,2288,4
0.1131,1,1,0.0018,73.34,0,1874,7
0.1131,1,1,0.0039,73.34,0,976,7
0.1087,1,1,0.0021,34.26,0,4290,2
0.1127,1,1,0.0018,80.28,0,1570,3
0.1150,1,1,0.0021,44.91,0,2891,5
0.1129,1,1,0.0018,72.5,0,591,8
0.1086,1,1,0.0021,-15.84,1,1262,4
0.1112,1,1,0.0021,67.76,0,929,6
0.1062,1,1,0.0016,71.82,0,3956,9
0.1131,1,1,0.0016,73.34,0,1544,7
0.1131,1,1,0.0016,59.3,0,10876,3
0.1113,1,1,0.0037,43.39,0,1189,2
0.1706,1,1,0.0025,76.72,0,44355,15
0.1127,1,1,0.0028,55.58,0,599,7
0.1020,1,1,0.0016,50.16,0,5609,2
0.1127,1,1,0.0018,55.58,0,7915,2
0.0698,1,1,0.0062,35.27,0,32854,1
0.1131,1,1,0.0021,35.44,0,880,13
0.1125,1,1,0.0028,46.1,0,2217,2
0.0812,1,1,0.0028,79.94,0,1307,4
1.2811,1,1,0.2313,11.92,1,7279652,3
0.1125,1,1,0.0037,43.39,0,325,2
0.3780,1,1,0.0369,85.18,0,3578158,15
0.1127,1,1,0.0018,34.26,0,1058,6
0.1127,1,1,0.0030,68.26,0,6631,1
0.0999,1,1,0.0021,29.01,1,5337,7
0.0836,1,1,0.0062,93.14,0,1883,5
0.1104,1,1,0.0039,55.58,0,1011,2
0.1707,1,1,0.0042,76.72,0,46408,15
0.1028,1,1,0.0039,91.45,0,29713,3
0.1132,1,1,0.0032,42.72,0,1159,7
0.1125,1,1,0.0016,76.22,0,1625,5
0.1346,1,1,0.0044,67.76,0,101011,3
0.1124,1,1,0.0016,38.32,0,144,3
0.1135,1,1,0.0021,88.43,0,1323,12
0.1144,1,1,0.0021,88.43,0,2589,11
0.1134,1,1,0.0035,34.26,0,42383,2
0.1124,1,1,0.0016,60.31,0,118,2
0.0900,1,1,0.0136,54.22,0,2606,1
0.1113,1,1,0.0023,88.43,0,1961,12
0.1126,1,1,0.0016,36.96,0,1129,4
0.1119,1,1,0.0058,45.42,0,10210,1
0.1162,1,1,0.0016,71.82,0,10786,9
0.1141,1,1,0.0021,38.99,0,2898,7
0.0641,1,1,0.0021,83.15,0,18731,5
0.1152,1,1,0.0021,44.91,0,4075,5
0.1125,1,1,0.0025,35.95,1,1897,1
0.1079,1,1,0.0018,71.82,0,17748,9
0.1129,1,1,0.0018,52.36,0,1599,5
0.1016,1,1,0.0021,50.16,0,1431,2
0.2174,1,1,0.0282,76.72,0,379452,15
